=== LEVEL 1 ===


--- Summary Table: Level 1, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |   SD |   Min |   Max |   Success Rate (%) |
| Active (20% FOV)  |   1.26 | 19.19 |  -61.00 | 19.00 |              54.00 |
| Active (40% FOV)  |  -9.54 | 31.36 | -120.00 | 19.00 |              48.00 |
| Active (60% FOV)  |  -6.51 | 22.46 |  -62.00 | 17.00 |              41.00 |
| Active (80% FOV)  |   5.81 | 15.87 |  -41.00 | 19.00 |              65.00 |
| Active (100% FOV) |   2.49 | 20.08 |  -58.00 | 19.00 |              58.00 |

--- Summary Table: Level 2, Trained on Level 1 | Success Threshold >= 5 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -28.06 | 46.19 | -124.00 | 19.00 |              35.00 |
| Active (1% FOV)   |   0.23 | 19.71 |  -89.00 | 19.00 |              63.00 |
| Active (5% FOV)   |   2.16 | 20.04 |  -65.00 | 17.00 |              62.00 |
| Active (10% FOV)  |  -1.28 | 19.10 |  -57.00 | 17.00 |              49.00 |
| Active (20% FOV)  |   1.26 | 19.19 |  -61.00 | 19.00 |              54.00 |
| Active (40% FOV)  |  -9.54 | 31.36 | -120.00 | 19.00 |              47.00 |
| Active (60% FOV)  |  -6.51 | 22.46 |  -62.00 | 17.00 |              41.00 |
| Active (80% FOV)  |   5.81 | 15.87 |  -41.00 | 19.00 |              65.00 |
| Active (100% FOV) |   2.49 | 20.08 |  -58.00 | 19.00 |              58.00 |

--- Summary Table: Level 2, Trained on Level 1 | Success Threshold >= 10 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -28.06 | 46.19 | -124.00 | 19.00 |              35.00 |
| Active (1% FOV)   |   0.23 | 19.71 |  -89.00 | 19.00 |              52.00 |
| Active (5% FOV)   |   2.16 | 20.04 |  -65.00 | 17.00 |              61.00 |
| Active (10% FOV)  |  -1.28 | 19.10 |  -57.00 | 17.00 |              48.00 |
| Active (20% FOV)  |   1.26 | 19.19 |  -61.00 | 19.00 |              53.00 |
| Active (40% FOV)  |  -9.54 | 31.36 | -120.00 | 19.00 |              46.00 |
| Active (60% FOV)  |  -6.51 | 22.46 |  -62.00 | 17.00 |              41.00 |
| Active (80% FOV)  |   5.81 | 15.87 |  -41.00 | 19.00 |              65.00 |
| Active (100% FOV) |   2.49 | 20.08 |  -58.00 | 19.00 |              58.00 |

--- Summary Table: Level 2, Trained on Level 1 | Success Threshold >= 15 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -28.06 | 46.19 | -124.00 | 19.00 |              32.00 |
| Active (1% FOV)   |   0.23 | 19.71 |  -89.00 | 19.00 |               3.00 |
